כותרת,תנועה,מנה,"ס""ת",ח-ן נגדי,מפתח חשבון,ספק תקין ,שם חשבון נגדי,ת.אסמכ,ת.ערך,תאריך 3,אסמ',אסמ'2,פרטים,תמחיר,חובה / זכות (שקל),מפתח חשבון,שם חשבון,קוד מיון,שם קוד מיון
806433,1747358,9997,,50026,37095,ADOBE- ספקי אינטרנט 80038,הוצאות שירותי תוכנה,17/01/2025,17/01/2025,17/01/2025,19015845,,ADOBE,,-205,80038,הוצאות ספקי אתר,801,מכירות
806434,1747359,9997,,50026,37095,ADOBE- ספקי אינטרנט 80038,הוצאות שירותי תוכנה,17/02/2025,17/02/2025,17/02/2025,19025845,,ADOBE,,-205,80038,הוצאות ספקי אתר,801,מכירות
806433,1747356,9997,,80038,37095,ADOBE- ספקי אינטרנט 80038,הוצאות ספקי אתר,17/01/2025,17/01/2025,17/01/2025,19015845,,ADOBE,,205,50026,הוצאות שירותי תוכנה,802,משרד
806434,1747357,9997,,80038,37095,ADOBE- ספקי אינטרנט 80038,הוצאות ספקי אתר,17/02/2025,17/02/2025,17/02/2025,19025845,,ADOBE,,205,50026,הוצאות שירותי תוכנה,802,משרד
815336,1768967,9997,,45010,37095,B.M.A Trigalo,הוצאות משלוחים והובלות,24/04/2025,24/04/2025,24/04/2025,0,3370,B.M.A Trigalo הובלות ולוגיסטיקה 04/25,,-950,50028,הוצאות הובלה,802,משרד
815336,1768963,9997,,50028,37148,טריגלו-B.M.A TRIGALO-הובלות,הוצאות הובלה,24/04/2025,24/04/2025,24/04/2025,0,3370,B.M.A Trigalo הובלות ולוגיסטיקה 04/25,,950,45010,הוצאות משלוחים והובלות,806,לוגיסטיקה
806435,1747362,9997,,50026,37140,80021   -FIGMA,הוצאות שירותי תוכנה,16/01/2025,16/01/2025,16/01/2025,17015845,,FIGMA MONTHLY RENEWAL,,-55.96,80021,הוצאות אתר,805,שיווק
806436,1747363,9997,,50026,37140,80021   -FIGMA,הוצאות שירותי תוכנה,16/02/2025,16/02/2025,16/02/2025,17025845,,FIGMA MONTHLY RENEWAL,,-54.99,80021,הוצאות אתר,805,שיווק
806435,1747360,9997,,80021,37140,80021   -FIGMA,הוצאות אתר,16/01/2025,16/01/2025,16/01/2025,17015845,,FIGMA MONTHLY RENEWAL,,55.96,50026,הוצאות שירותי תוכנה,802,משרד
806436,1747361,9997,,80021,37140,80021   -FIGMA,הוצאות אתר,16/02/2025,16/02/2025,16/02/2025,17025845,,FIGMA MONTHLY RENEWAL,,54.99,50026,הוצאות שירותי תוכנה,802,משרד
806477,1747447,9997,,50011,20042,Google,הוצאות פרסום ושיווק,01/02/2025,01/02/2025,01/02/2025,30251383,,GOOGLE*ADS6216476794,,-5129.51,80013,הוצאות גוגל,805,שיווק
806478,1747448,9997,,50011,20042,Google,הוצאות פרסום ושיווק,22/02/2025,22/02/2025,22/02/2025,240251383,,GOOGLE*ADS6216476794,,-10000,80013,הוצאות גוגל,805,שיווק
806479,1747449,9997,,50011,20042,Google,הוצאות פרסום ושיווק,01/03/2025,01/03/2025,01/03/2025,30351383,,GOOGLE*ADS6216476794,,-3052.43,80013,הוצאות גוגל,805,שיווק
806477,1747444,9997,,80013,20042,Google,הוצאות גוגל,01/02/2025,01/02/2025,01/02/2025,30251383,,GOOGLE*ADS6216476794,,5129.51,50011,הוצאות פרסום ושיווק,805,שיווק
806479,1747446,9997,,80013,20042,Google,הוצאות גוגל,01/03/2025,01/03/2025,01/03/2025,30351383,,GOOGLE*ADS6216476794,,3052.43,50011,הוצאות פרסום ושיווק,805,שיווק
806397,1747281,9997,,50012,20142,Klaviyo Inc אימייל מרק 50012,הוצאות אימייל מרקטינג,30/01/2025,30/01/2025,30/01/2025,31015845,,KLAVIYO INC. SOFTWARE,,2212.76,50026,הוצאות שירותי תוכנה,802,משרד
806398,1747282,9997,,50012,20142,Klaviyo Inc אימייל מרק 50012,הוצאות אימייל מרקטינג,28/02/2025,28/02/2025,28/02/2025,2035845,,KLAVIYO INC. SOFTWARE,,2216.47,50026,הוצאות שירותי תוכנה,802,משרד
806399,1747283,9997,,50012,20142,Klaviyo Inc אימייל מרק 50012,הוצאות אימייל מרקטינג,28/02/2025,28/02/2025,28/02/2025,2035845,,KLAVIYO INC. SOFTWARE,,1431.47,50026,הוצאות שירותי תוכנה,802,משרד
815293,1768895,9997,,50012,20142,Klaviyo Inc אימייל מרק 50012,הוצאות אימייל מרקטינג,30/04/2025,30/04/2025,25/05/2025,2055845,0,BOSTON       ~KLAVIYO INC. SOFTWARE,,3695.69,50026,הוצאות שירותי תוכנה,802,משרד
806397,1747284,9997,,50026,20142,Klaviyo Inc אימייל מרק 50012,הוצאות שירותי תוכנה,30/01/2025,30/01/2025,30/01/2025,31015845,,KLAVIYO INC. SOFTWARE,,-2212.76,50012,הוצאות אימייל מרקטינג,805,שיווק
806398,1747285,9997,,50026,20142,Klaviyo Inc אימייל מרק 50012,הוצאות שירותי תוכנה,28/02/2025,28/02/2025,28/02/2025,2035845,,KLAVIYO INC. SOFTWARE,,-2216.47,50012,הוצאות אימייל מרקטינג,805,שיווק
806399,1747286,9997,,50026,20142,Klaviyo Inc אימייל מרק 50012,הוצאות שירותי תוכנה,28/02/2025,28/02/2025,28/02/2025,2035845,,KLAVIYO INC. SOFTWARE,,-1431.47,50012,הוצאות אימייל מרקטינג,805,שיווק
815293,1768896,9997,,50026,20142,Klaviyo Inc אימייל מרק 50012,הוצאות שירותי תוכנה,30/04/2025,30/04/2025,25/05/2025,2055845,0,BOSTON       ~KLAVIYO INC. SOFTWARE,,-3695.69,50012,הוצאות אימייל מרקטינג,805,שיווק
806437,1747404,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,09/01/2025,09/01/2025,09/01/2025,12015845,,FACEBK *A3CNQJC9J2,,-7700,80012,הוצאות פייסבוק,805,שיווק
806438,1747405,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,13/01/2025,13/01/2025,13/01/2025,15015845,,FACEBK *67J8KJU9J2,,-7700,80012,הוצאות פייסבוק,805,שיווק
806439,1747406,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,18/01/2025,18/01/2025,18/01/2025,19015845,,FACEBK *XCAC6KC9J2,,-6653.36,80012,הוצאות פייסבוק,805,שיווק
806440,1747407,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,26/01/2025,26/01/2025,26/01/2025,28015845,,FACEBK *QCFNBJ4AJ2,,-7700,80012,הוצאות פייסבוק,805,שיווק
806441,1747408,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *ZQ84PKQ2X2,,-8,80012,הוצאות פייסבוק,805,שיווק
806442,1747409,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *MY78KJL2X2,,-77,80012,הוצאות פייסבוק,805,שיווק
806445,1747412,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *U4RLLJC2X2,,-25,80012,הוצאות פייסבוק,805,שיווק
806443,1747410,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *DGRX3K42X2,,-200,80012,הוצאות פייסבוק,805,שיווק
806444,1747411,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *S52UZHU2X2,,-200,80012,הוצאות פייסבוק,805,שיווק
806446,1747413,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,04/02/2025,04/02/2025,04/02/2025,5025845,,FACEBK *U24X4K42X2,,-300,80012,הוצאות פייסבוק,805,שיווק
806449,1747416,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,04/02/2025,04/02/2025,04/02/2025,6025845,,FACEBK *SSSZ2JU2X2,,-330,80012,הוצאות פייסבוק,805,שיווק
806447,1747414,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,04/02/2025,04/02/2025,04/02/2025,5025845,,FACEBK *CZGJMJC2X2,,-200,80012,הוצאות פייסבוק,805,שיווק
806448,1747415,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,04/02/2025,04/02/2025,04/02/2025,6025845,,FACEBK *DVT4MJL2X2,,-363,80012,הוצאות פייסבוק,805,שיווק
806450,1747417,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,05/02/2025,05/02/2025,05/02/2025,6025845,,FACEBK *RDR9PJC2X2,,-400,80012,הוצאות פייסבוק,805,שיווק
806451,1747418,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,05/02/2025,05/02/2025,05/02/2025,7025845,,FACEBK *WLKQPJC2X2,,-440,80012,הוצאות פייסבוק,805,שיווק
806452,1747419,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,05/02/2025,05/02/2025,05/02/2025,7025845,,FACEBK *FN6NNJL2X2,,-484,80012,הוצאות פייסבוק,805,שיווק
806475,1747442,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,05/02/2025,05/02/2025,05/02/2025,70251383,,FACEBK *META VERIFIE,,-42.89,80012,הוצאות פייסבוק,805,שיווק
806453,1747420,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,06/02/2025,06/02/2025,06/02/2025,7025845,,FACEBK *7E7MTKQ2X2,,-533,80012,הוצאות פייסבוק,805,שיווק
806454,1747421,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,06/02/2025,06/02/2025,06/02/2025,9025845,,FACEBK *75BL8K42X2,,-587,80012,הוצאות פייסבוק,805,שיווק
806455,1747422,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,06/02/2025,06/02/2025,06/02/2025,9025845,,FACEBK *RR2TUKQ2X2,,-646,80012,הוצאות פייסבוק,805,שיווק
806456,1747423,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,07/02/2025,07/02/2025,07/02/2025,9025845,,FACEBK *JER3TJC2X2,,-711,80012,הוצאות פייסבוק,805,שיווק
806457,1747424,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,07/02/2025,07/02/2025,07/02/2025,9025845,,FACEBK *MCSK9JYZW2,,-783,80012,הוצאות פייסבוק,805,שיווק
806458,1747425,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,08/02/2025,08/02/2025,08/02/2025,10025845,,FACEBK *F3XPAJYZW2,,-862,80012,הוצאות פייסבוק,805,שיווק
806459,1747426,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,09/02/2025,09/02/2025,09/02/2025,10025845,,FACEBK *AATMUJL2X2,,-949,80012,הוצאות פייסבוק,805,שיווק
806460,1747427,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,09/02/2025,09/02/2025,09/02/2025,11025845,,FACEBK *KXZGZHG2X2,,-1044,80012,הוצאות פייסבוק,805,שיווק
806461,1747428,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *WCGJAK82X2,,-1264,80012,הוצאות פייסבוק,805,שיווק
806462,1747429,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *M6TDFK42X2,,-1149,80012,הוצאות פייסבוק,805,שיווק
806463,1747430,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,11/02/2025,11/02/2025,11/02/2025,12025845,,FACEBK *HZZCYJL2X2,,-1391,80012,הוצאות פייסבוק,805,שיווק
806464,1747431,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,11/02/2025,11/02/2025,11/02/2025,13025845,,FACEBK *E4M35JG2X2,,-1531,80012,הוצאות פייסבוק,805,שיווק
806465,1747432,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,12/02/2025,12/02/2025,12/02/2025,14025845,,FACEBK *828U3KC2X2,,-1685,80012,הוצאות פייסבוק,805,שיווק
806466,1747433,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,13/02/2025,13/02/2025,13/02/2025,14025845,,FACEBK *G44S3KL2X2,,-1854,80012,הוצאות פייסבוק,805,שיווק
806467,1747434,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,15/02/2025,15/02/2025,15/02/2025,17025845,,FACEBK *GTXYBJG2X2,,-2244,80012,הוצאות פייסבוק,805,שיווק
806468,1747435,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,16/02/2025,16/02/2025,16/02/2025,18025845,,FACEBK *C6NQAKL2X2,,-2469,80012,הוצאות פייסבוק,805,שיווק
809878,1755719,9997,,50042,30068,META/ פייסבוק,הוצאות חניה,16/02/2025,16/02/2025,16/02/2025,845,,FACEBK *KC8ZCKYZW2,,-2232,80012,הוצאות פייסבוק,805,שיווק
806469,1747436,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,18/02/2025,18/02/2025,18/02/2025,19025845,,FACEBK *T3JS2KG9J2,,-5282.5,80012,הוצאות פייסבוק,805,שיווק
806470,1747437,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,18/02/2025,18/02/2025,18/02/2025,20025845,,FACEBK *5RF9XK42X2,,-2716,80012,הוצאות פייסבוק,805,שיווק
806471,1747438,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,25/02/2025,25/02/2025,25/02/2025,27025845,,FACEBK *4K9LSKL2X2,,-2988,80012,הוצאות פייסבוק,805,שיווק
806472,1747439,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,27/02/2025,27/02/2025,27/02/2025,28025845,,FACEBK *KC8ZCKYZW2,,-3238,80012,הוצאות פייסבוק,805,שיווק
806473,1747440,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *C7THFKYZW2,,-1006.02,80012,הוצאות פייסבוק,805,שיווק
806474,1747441,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *DVXGNKUZW2,,-3238,80012,הוצאות פייסבוק,805,שיווק
806476,1747443,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,05/03/2025,05/03/2025,05/03/2025,70351383,,FACEBK *META VERIFIE,,-42.89,80012,הוצאות פייסבוק,805,שיווק
809878,1755718,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,16/02/2025,16/02/2025,16/02/2025,845,,FACEBK *KC8ZCKYZW2,,2232,50042,הוצאות חניה,802,משרד
806437,1747364,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,09/01/2025,09/01/2025,09/01/2025,12015845,,FACEBK *A3CNQJC9J2,,7700,50011,הוצאות פרסום ושיווק,805,שיווק
806438,1747365,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,13/01/2025,13/01/2025,13/01/2025,15015845,,FACEBK *67J8KJU9J2,,7700,50011,הוצאות פרסום ושיווק,805,שיווק
806439,1747366,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,18/01/2025,18/01/2025,18/01/2025,19015845,,FACEBK *XCAC6KC9J2,,6653.36,50011,הוצאות פרסום ושיווק,805,שיווק
806440,1747367,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,26/01/2025,26/01/2025,26/01/2025,28015845,,FACEBK *QCFNBJ4AJ2,,7700,50011,הוצאות פרסום ושיווק,805,שיווק
806441,1747368,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *ZQ84PKQ2X2,,8,50011,הוצאות פרסום ושיווק,805,שיווק
806442,1747369,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *MY78KJL2X2,,77,50011,הוצאות פרסום ושיווק,805,שיווק
806443,1747370,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *DGRX3K42X2,,200,50011,הוצאות פרסום ושיווק,805,שיווק
806444,1747371,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *S52UZHU2X2,,200,50011,הוצאות פרסום ושיווק,805,שיווק
806445,1747372,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *U4RLLJC2X2,,25,50011,הוצאות פרסום ושיווק,805,שיווק
806446,1747373,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,5025845,,FACEBK *U24X4K42X2,,300,50011,הוצאות פרסום ושיווק,805,שיווק
806447,1747374,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,5025845,,FACEBK *CZGJMJC2X2,,200,50011,הוצאות פרסום ושיווק,805,שיווק
806448,1747375,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,6025845,,FACEBK *DVT4MJL2X2,,363,50011,הוצאות פרסום ושיווק,805,שיווק
806449,1747376,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,6025845,,FACEBK *SSSZ2JU2X2,,330,50011,הוצאות פרסום ושיווק,805,שיווק
806450,1747377,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,6025845,,FACEBK *RDR9PJC2X2,,400,50011,הוצאות פרסום ושיווק,805,שיווק
806451,1747378,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,7025845,,FACEBK *WLKQPJC2X2,,440,50011,הוצאות פרסום ושיווק,805,שיווק
806452,1747379,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,7025845,,FACEBK *FN6NNJL2X2,,484,50011,הוצאות פרסום ושיווק,805,שיווק
806475,1747402,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,70251383,,FACEBK *META VERIFIE,,42.89,50011,הוצאות פרסום ושיווק,805,שיווק
806453,1747380,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,06/02/2025,06/02/2025,06/02/2025,7025845,,FACEBK *7E7MTKQ2X2,,533,50011,הוצאות פרסום ושיווק,805,שיווק
806454,1747381,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,06/02/2025,06/02/2025,06/02/2025,9025845,,FACEBK *75BL8K42X2,,587,50011,הוצאות פרסום ושיווק,805,שיווק
806455,1747382,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,06/02/2025,06/02/2025,06/02/2025,9025845,,FACEBK *RR2TUKQ2X2,,646,50011,הוצאות פרסום ושיווק,805,שיווק
806456,1747383,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,07/02/2025,07/02/2025,07/02/2025,9025845,,FACEBK *JER3TJC2X2,,711,50011,הוצאות פרסום ושיווק,805,שיווק
806457,1747384,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,07/02/2025,07/02/2025,07/02/2025,9025845,,FACEBK *MCSK9JYZW2,,783,50011,הוצאות פרסום ושיווק,805,שיווק
806458,1747385,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,08/02/2025,08/02/2025,08/02/2025,10025845,,FACEBK *F3XPAJYZW2,,862,50011,הוצאות פרסום ושיווק,805,שיווק
806459,1747386,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,09/02/2025,09/02/2025,09/02/2025,10025845,,FACEBK *AATMUJL2X2,,949,50011,הוצאות פרסום ושיווק,805,שיווק
806460,1747387,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,09/02/2025,09/02/2025,09/02/2025,11025845,,FACEBK *KXZGZHG2X2,,1044,50011,הוצאות פרסום ושיווק,805,שיווק
806461,1747388,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *WCGJAK82X2,,1264,50011,הוצאות פרסום ושיווק,805,שיווק
806462,1747389,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *M6TDFK42X2,,1149,50011,הוצאות פרסום ושיווק,805,שיווק
806463,1747390,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,11/02/2025,11/02/2025,11/02/2025,12025845,,FACEBK *HZZCYJL2X2,,1391,50011,הוצאות פרסום ושיווק,805,שיווק
806464,1747391,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,11/02/2025,11/02/2025,11/02/2025,13025845,,FACEBK *E4M35JG2X2,,1531,50011,הוצאות פרסום ושיווק,805,שיווק
806465,1747392,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,12/02/2025,12/02/2025,12/02/2025,14025845,,FACEBK *828U3KC2X2,,1685,50011,הוצאות פרסום ושיווק,805,שיווק
806466,1747393,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,13/02/2025,13/02/2025,13/02/2025,14025845,,FACEBK *G44S3KL2X2,,1854,50011,הוצאות פרסום ושיווק,805,שיווק
806467,1747394,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,15/02/2025,15/02/2025,15/02/2025,17025845,,FACEBK *GTXYBJG2X2,,2244,50011,הוצאות פרסום ושיווק,805,שיווק
806468,1747395,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,16/02/2025,16/02/2025,16/02/2025,18025845,,FACEBK *C6NQAKL2X2,,2469,50011,הוצאות פרסום ושיווק,805,שיווק
806469,1747396,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,18/02/2025,18/02/2025,18/02/2025,19025845,,FACEBK *T3JS2KG9J2,,5282.5,50011,הוצאות פרסום ושיווק,805,שיווק
806470,1747397,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,18/02/2025,18/02/2025,18/02/2025,20025845,,FACEBK *5RF9XK42X2,,2716,50011,הוצאות פרסום ושיווק,805,שיווק
806478,1747445,9997,,80013,30068,META/ פייסבוק,הוצאות גוגל,22/02/2025,22/02/2025,22/02/2025,240251383,,GOOGLE*ADS6216476794,,10000,50011,הוצאות פרסום ושיווק,805,שיווק
806471,1747398,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,25/02/2025,25/02/2025,25/02/2025,27025845,,FACEBK *4K9LSKL2X2,,2988,50011,הוצאות פרסום ושיווק,805,שיווק
806472,1747399,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,27/02/2025,27/02/2025,27/02/2025,28025845,,FACEBK *KC8ZCKYZW2,,3238,50011,הוצאות פרסום ושיווק,805,שיווק
806473,1747400,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *C7THFKYZW2,,1006.02,50011,הוצאות פרסום ושיווק,805,שיווק
806474,1747401,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *DVXGNKUZW2,,3238,50011,הוצאות פרסום ושיווק,805,שיווק
806476,1747403,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/03/2025,05/03/2025,05/03/2025,70351383,,FACEBK *META VERIFIE,,42.89,50011,הוצאות פרסום ושיווק,805,שיווק
815273,1768861,9997,,50015,20104,Shopify International Limited,הוצאות אחזקת אתר אינטרנט,12/04/2025,12/04/2025,12/04/2025,0,298174430,Shopify International Limited 04/25,,10698.39,50026,הוצאות שירותי תוכנה,802,משרד
815274,1768862,9997,,50015,20104,Shopify International Limited,הוצאות אחזקת אתר אינטרנט,12/05/2025,12/05/2025,12/05/2025,0,484119330,Shopify International Limited 05/25,,9676.34,50026,הוצאות שירותי תוכנה,802,משרד
815273,1768863,9997,,50026,20104,Shopify International Limited,הוצאות שירותי תוכנה,12/04/2025,12/04/2025,12/04/2025,0,298174430,Shopify International Limited 04/25,,-10698.39,50015,הוצאות אחזקת אתר אינטרנט,801,מכירות
