כותרת,תנועה,מנה,"ס""ת",ח-ן נגדי,מפתח חשבון,ספק תקין ,שם חשבון נגדי,ת.אסמכ,ת.ערך,תאריך 3,אסמ',אסמ'2,פרטים,תמחיר,חובה / זכות (שקל),מפתח חשבון,שם חשבון,קוד מיון,שם קוד מיון
814878,1767971,1096,,37999,20104,Shopify International Limited,ספקים לשלם +לקבל חשבונית,07/05/2025,07/05/2025,14/05/2025,0,250510006,ליסקאר מנהרות,,58.64,50004,הוצאות נסיעות מחלקת סיטונאות,801,מכירות
806430,1747353,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,09/01/2025,09/01/2025,09/01/2025,12015845,,ZENDESK.COM - IRE,,-21.5,80010,הוצאות שרות לקוחות,801,מכירות
806431,1747354,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,24/01/2025,24/01/2025,24/01/2025,26015845,,ZENDESK.COM - IRE,,-41.9,80010,הוצאות שרות לקוחות,801,מכירות
806432,1747355,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,27/01/2025,27/01/2025,27/01/2025,29015845,,ZENDESK.COM - IRE,,-47.65,80010,הוצאות שרות לקוחות,801,מכירות
806429,1747352,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,09/02/2025,09/02/2025,23/03/2025,0,12575512,zendesk 02/25,,-46.39,80010,הוצאות שרות לקוחות,801,מכירות
806428,1747351,9997,,50026,20082,zendesk שירות לקוחות 80010,הוצאות שירותי תוכנה,27/02/2025,27/02/2025,27/02/2025,0,12627302,zendesk 02/25,,-55.5,80010,הוצאות שרות לקוחות,801,מכירות
806430,1747348,9997,,80010,20082,zendesk שירות לקוחות 80010,הוצאות שרות לקוחות,09/01/2025,09/01/2025,09/01/2025,12015845,,ZENDESK.COM - IRE,,21.5,50026,הוצאות שירותי תוכנה,802,משרד
806431,1747349,9997,,80010,20082,zendesk שירות לקוחות 80010,הוצאות שרות לקוחות,24/01/2025,24/01/2025,24/01/2025,26015845,,ZENDESK.COM - IRE,,41.9,50026,הוצאות שירותי תוכנה,802,משרד
806432,1747350,9997,,80010,20082,zendesk שירות לקוחות 80010,הוצאות שרות לקוחות,27/01/2025,27/01/2025,27/01/2025,29015845,,ZENDESK.COM - IRE,,47.65,50026,הוצאות שירותי תוכנה,802,משרד
806429,1747347,9997,,80010,20082,zendesk שירות לקוחות 80010,הוצאות שרות לקוחות,09/02/2025,09/02/2025,23/03/2025,0,12575512,zendesk 02/25,,46.39,50026,הוצאות שירותי תוכנה,802,משרד
806428,1747346,9997,,80010,20082,zendesk שירות לקוחות 80010,הוצאות שרות לקוחות,27/02/2025,27/02/2025,27/02/2025,0,12627302,zendesk 02/25,,55.5,50026,הוצאות שירותי תוכנה,802,משרד
809620,1755131,1075,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,30/01/2025,30/01/2025,09/04/2025,89328,0,"ITM -שת""פ",,-10256.78,50019,"הוצאות שת""פ",805,שיווק
809859,1755684,1085,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,28/02/2025,28/02/2025,23/04/2025,0,0,איי טי אם מודלס  בעמ 02/25,,-9844,50019,"הוצאות שת""פ",805,שיווק
809858,1755682,9997,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,23/03/2025,23/03/2025,09/04/2025,89328,108388,"ITM -שת""פ",,10256.78,50019,"הוצאות שת""פ",805,שיווק
809860,1755687,1085,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,23/04/2025,0,0,איי טי אם מודלס  בעמ 02/25,,9844,50019,"הוצאות שת""פ",805,שיווק
815485,1769231,1131,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,31/03/2025,06/04/2025,15/06/2025,89792,0,שירנקה- בסיס 03.25,,-8000,37126,הוצאות הפקה,805,שיווק
815486,1769233,1131,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,31/03/2025,06/04/2025,15/06/2025,89792,0,שירנקה- עמלות 03.25,,-2533.99,37126,הוצאות הפקה,805,שיווק
815483,1769227,1131,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,31/05/2025,31/05/2025,15/06/2025,90311,0,שירנקה- עמלות 05.25,,-2029.55,37126,הוצאות הפקה,805,שיווק
815484,1769229,1131,,37999,30783,איי טי אם מודלס  בעמ,ספקים לשלם +לקבל חשבונית,31/05/2025,31/05/2025,15/06/2025,90311,0,שירנקה- בסיס 05.25,,-8000,37126,הוצאות הפקה,805,שיווק
806486,1747462,9997,,45010,37044,אלי אדרי,הוצאות משלוחים והובלות,20/01/2025,20/01/2025,19/02/2025,0,1017,אלי אדרי,,850,50028,הוצאות הובלה,802,משרד
815338,1768969,9997,,45010,37044,אלי אדרי,הוצאות משלוחים והובלות,20/01/2025,20/01/2025,19/02/2025,0,1017,אלי אדרי,,-850,50028,הוצאות הובלה,802,משרד
806486,1747466,9997,,50028,37044,אלי אדרי,הוצאות הובלה,20/01/2025,20/01/2025,19/02/2025,0,1017,אלי אדרי,,-850,45010,הוצאות משלוחים והובלות,806,לוגיסטיקה
815338,1768965,9997,,50028,37044,אלי אדרי,הוצאות הובלה,20/01/2025,20/01/2025,19/02/2025,0,1017,אלי אדרי,,850,45010,הוצאות משלוחים והובלות,806,לוגיסטיקה
809894,1755750,9997,,80032,30775,אף אן די דיגיטל - אלונה דורות בעמ והדר פרידמן בעמ,הוצאות רטיינרים שיווק,28/02/2025,28/02/2025,28/02/2025,0,522784,ניהול קמפיינים ממומנים,,7000,50011,הוצאות פרסום ושיווק,805,שיווק
809895,1755751,9997,,80032,30775,אף אן די דיגיטל - אלונה דורות בעמ והדר פרידמן בעמ,הוצאות רטיינרים שיווק,31/03/2025,31/03/2025,31/03/2025,0,522791,די דיגיטל - אלונה דורות בעמ והדר פרידמן בעמ 03/25,,7000,50011,הוצאות פרסום ושיווק,805,שיווק
815314,1768931,9997,,80032,30775,אף אן די דיגיטל - אלונה דורות בעמ והדר פרידמן בעמ,הוצאות רטיינרים שיווק,30/04/2025,30/04/2025,30/04/2025,0,522809,די דיגיטל - אלונה דורות בעמ והדר פרידמן בעמ 04/25,,7000,50011,הוצאות פרסום ושיווק,805,שיווק
815298,1768903,1105,,37999,20000,בזק,ספקים לשלם +לקבל חשבונית,30/04/2025,30/04/2025,28/05/2025,0,0,בזק 04.25,,-396.19,50000,הוצאות טלפון ואינטרנט,802,משרד
815361,1769013,1109,,70019,20105,"ביימי טכנולוגיות בע""מ ",הוצאות לשלם,31/01/2025,08/03/2025,28/05/2025,0,0,"עמלות ביימי טכנולוגיות בע""מ 1.25",,-2745.4,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815362,1769015,1109,,70019,20105,"ביימי טכנולוגיות בע""מ ",הוצאות לשלם,28/02/2025,08/04/2025,28/05/2025,0,0,"עמלות ביימי טכנולוגיות בע""מ 2.25",,-2491.83,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815455,1769192,9997,,70019,20105,"ביימי טכנולוגיות בע""מ ",הוצאות לשלם,28/02/2025,08/04/2025,28/05/2025,0,0,"עמלות ביימי טכנולוגיות בע""מ 2.25",,2491.83,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815363,1769017,1109,,70019,20105,"ביימי טכנולוגיות בע""מ ",הוצאות לשלם,31/03/2025,31/03/2025,28/05/2025,0,0,"עמלות ביימי טכנולוגיות בע""מ 3.25",,-2460.53,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815364,1769019,1109,,70019,20105,"ביימי טכנולוגיות בע""מ ",הוצאות לשלם,30/04/2025,30/04/2025,28/05/2025,0,0,"עמלות ביימי טכנולוגיות בע""מ 4.25",,-3616.68,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815453,1769188,9997,,37999,20105,"ביימי טכנולוגיות בע""מ ",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,14/05/2025,0,2503964,"ביימי טכנולוגיות בע""מ עמלות 03.25",,2085.2,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
820432,1781296,9997,,37999,20105,"ביימי טכנולוגיות בע""מ ",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,14/05/2025,0,2503964,"ביימי טכנולוגיות בע""מ עמלות 03.25",,-2085.2,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
814881,1767976,1096,,37999,20105,"ביימי טכנולוגיות בע""מ ",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,14/05/2025,0,2503964,"ביימי טכנולוגיות בע""מ עמלות 03.25",,-2085.2,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
814882,1767979,1096,,37999,20105,"ביימי טכנולוגיות בע""מ ",ספקים לשלם +לקבל חשבונית,30/04/2025,30/04/2025,14/05/2025,0,2503964,"ביימי טכנולוגיות בע""מ עמלות 03.25",,2085.2,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815493,1769247,1131,,37999,20105,"ביימי טכנולוגיות בע""מ ",ספקים לשלם +לקבל חשבונית,30/04/2025,30/04/2025,15/06/2025,2505298,0,"ביימי טכנולוגיות בע""מ 04.2025",,-5824.63,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815494,1769250,1131,,37999,20105,"ביימי טכנולוגיות בע""מ ",ספקים לשלם +לקבל חשבונית,31/05/2025,31/05/2025,15/06/2025,2505298,0,"ביימי טכנולוגיות בע""מ 04.2025",,5824.63,55004,"הוצאות עמלות מכירה  ביי מי, וויסל",801,מכירות
815274,1768864,9997,,50026,20105,"ביימי טכנולוגיות בע""מ ",הוצאות שירותי תוכנה,12/05/2025,12/05/2025,12/05/2025,0,484119330,Shopify International Limited 05/25,,-9676.34,50015,הוצאות אחזקת אתר אינטרנט,801,מכירות
806480,1747453,9997,,50011,30765,ברגר גלי,הוצאות פרסום ושיווק,01/01/2025,01/01/2025,19/02/2025,0,30081,ברגר גלי 12.24,,-23000,80032,הוצאות רטיינרים שיווק,805,שיווק
806481,1747454,9997,,50011,30765,ברגר גלי,הוצאות פרסום ושיווק,01/02/2025,01/02/2025,01/02/2025,0,30084,01.25 VP MARKETING,,-23000,80032,הוצאות רטיינרים שיווק,805,שיווק
815328,1768948,1106,,37999,30765,ברגר גלי,ספקים לשלם +לקבל חשבונית,01/02/2025,01/02/2025,28/05/2025,0,0,גלי ברגר 01.25,,23000,80032,הוצאות רטיינרים שיווק,805,שיווק
806480,1747450,9997,,80032,30765,ברגר גלי,הוצאות רטיינרים שיווק,01/01/2025,01/01/2025,19/02/2025,0,30081,ברגר גלי 12.24,,23000,50011,הוצאות פרסום ושיווק,805,שיווק
806481,1747451,9997,,80032,30765,ברגר גלי,הוצאות רטיינרים שיווק,01/02/2025,01/02/2025,01/02/2025,0,30084,01.25 VP MARKETING,,23000,50011,הוצאות פרסום ושיווק,805,שיווק
806482,1747452,9997,,80032,30765,ברגר גלי,הוצאות רטיינרים שיווק,03/03/2025,03/03/2025,03/03/2025,0,30092,VP MARKETING 02.25,,23000,50011,הוצאות פרסום ושיווק,805,שיווק
815602,1769478,9997,,80032,30784,בשמת אפפל- PLANER PRO SOLUTIONS,הוצאות רטיינרים שיווק,30/04/2025,30/04/2025,14/05/2025,0,1004,פלנר- בשמת-04.25,,-7175,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815599,1769475,9997,,80032,30784,בשמת אפפל- PLANER PRO SOLUTIONS,הוצאות רטיינרים שיווק,31/01/2025,31/01/2025,09/04/2025,1001,0,פלנר פרו 01.25,,-3080,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815600,1769476,9997,,80032,30784,בשמת אפפל- PLANER PRO SOLUTIONS,הוצאות רטיינרים שיווק,28/02/2025,28/02/2025,09/04/2025,1002,0,פלנר פרו 02.25,,-5071.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815601,1769477,9997,,80032,30784,בשמת אפפל- PLANER PRO SOLUTIONS,הוצאות רטיינרים שיווק,31/03/2025,31/03/2025,09/04/2025,1003,0,פלנר פרו 03.25,,-9411.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
814978,1768142,1097,,37999,30784,בשמת אפפל- PLANER PRO SOLUTIONS,ספקים לשלם +לקבל חשבונית,19/05/2025,19/05/2025,25/05/2025,0,800003,פלאנר פרו 04.25,,7175,80032,הוצאות רטיינרים שיווק,805,שיווק
815348,1768987,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/05/2025,0,0,גוד'ס 01.25,,4462.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815354,1768999,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/05/2025,0,0,גוד'ס 01.25,,-4725,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815342,1768975,1107,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/05/2025,0,0,גוד'ס 01.25,,-4462.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815343,1768978,1107,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,14/02/2025,14/02/2025,28/05/2025,0,0,גוד'ס 01.25 +01.25,,8925,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815349,1768990,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,14/02/2025,14/02/2025,28/05/2025,0,0,גוד'ס 01.25 +01.25,,-8925,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815355,1769002,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,14/02/2025,14/02/2025,28/05/2025,0,0,גוד'ס 01+03.25,,9450,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815350,1768991,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,28/05/2025,0,0,גוד'ס 02.25,,4462.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815344,1768979,1107,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,28/05/2025,0,0,גוד'ס 02.25,,-4462.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815356,1769003,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,28/05/2025,0,0,גוד'ס 03.25,,-4725,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815358,1769007,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,30/05/2025,30/05/2025,28/05/2025,0,0,גוד'ס 05.25,,-4725,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815352,1768995,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/05/2025,31/05/2025,28/05/2025,0,0,גוד'ס 05.25,,4462.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815346,1768983,1107,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,31/05/2025,31/05/2025,28/05/2025,0,0,גוד'ס 05.25,,-4462.5,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815345,1768982,1107,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,30/04/2025,30/04/2025,28/05/2025,0,0,גוד'ס 05+06.25,,8925,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815357,1769006,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,30/04/2025,30/04/2025,28/05/2025,0,0,גוד'ס 05+06.25,,9450,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815351,1768994,1108,,37999,30710,"גולדנטק מערכות מידע בע""מ - goods",ספקים לשלם +לקבל חשבונית,30/04/2025,30/04/2025,28/05/2025,0,0,גוד'ס 05+06.25,,-8925,80041,הוצאות שירותי תוכנה לוגיסטיקה,806,לוגיסטיקה
815327,1768945,1106,,37999,30765,ברגר גלי,ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/05/2025,0,0,גלי ברגר 01.25,,-23000,80032,הוצאות רטיינרים שיווק,805,שיווק
815454,1769190,9997,,37126,37099,"ד.מ פוסט בע""מ",הוצאות הפקה,31/01/2025,31/01/2025,28/05/2025,0,0,ד.מ 01.25 בריף,,5900,80032,הוצאות רטיינרים שיווק,805,שיווק
815600,1769472,9997,,80041,37099,"ד.מ פוסט בע""מ",הוצאות שירותי תוכנה לוגיסטיקה,28/02/2025,28/02/2025,09/04/2025,1002,0,פלנר פרו 02.25,,5071.5,80032,הוצאות רטיינרים שיווק,805,שיווק
809894,1755752,9997,,50011,37099,"ד.מ פוסט בע""מ",הוצאות פרסום ושיווק,28/02/2025,28/02/2025,28/02/2025,0,522784,ניהול קמפיינים ממומנים,,-7000,80032,הוצאות רטיינרים שיווק,805,שיווק
806482,1747455,9997,,50011,37099,"ד.מ פוסט בע""מ",הוצאות פרסום ושיווק,03/03/2025,03/03/2025,03/03/2025,0,30092,VP MARKETING 02.25,,-23000,80032,הוצאות רטיינרים שיווק,805,שיווק
809895,1755753,9997,,50011,37099,"ד.מ פוסט בע""מ",הוצאות פרסום ושיווק,31/03/2025,31/03/2025,31/03/2025,0,522791,די דיגיטל - אלונה דורות בעמ והדר פרידמן בעמ 03/25,,-7000,80032,הוצאות רטיינרים שיווק,805,שיווק
815601,1769473,9997,,80041,37099,"ד.מ פוסט בע""מ",הוצאות שירותי תוכנה לוגיסטיקה,31/03/2025,31/03/2025,09/04/2025,1003,0,פלנר פרו 03.25,,9411.5,80032,הוצאות רטיינרים שיווק,805,שיווק
815602,1769474,9997,,80041,37099,"ד.מ פוסט בע""מ",הוצאות שירותי תוכנה לוגיסטיקה,30/04/2025,30/04/2025,14/05/2025,0,1004,פלנר- בשמת-04.25,,7175,80032,הוצאות רטיינרים שיווק,805,שיווק
815314,1768932,9997,,50011,37099,"ד.מ פוסט בע""מ",הוצאות פרסום ושיווק,30/04/2025,30/04/2025,30/04/2025,0,522809,די דיגיטל - אלונה דורות בעמ והדר פרידמן בעמ 04/25,,-7000,80032,הוצאות רטיינרים שיווק,805,שיווק
809613,1755117,1075,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,09/04/2025,40579,0,ד.מ פוסט 01.25,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
809873,1755712,9997,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,09/04/2025,40579,0,ד.מ פוסט 01.25,,15000,80032,הוצאות רטיינרים שיווק,805,שיווק
810047,1756057,1089,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/04/2025,0,0,ד.מ 01.25,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
815323,1768937,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/05/2025,0,0,ד.מ 01.25,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
815324,1768939,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/05/2025,0,0,ד.מ 01.25 בריף,,-5900,80032,הוצאות רטיינרים שיווק,805,שיווק
815335,1768961,9997,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/01/2025,31/01/2025,28/05/2025,0,0,ד.מ 01.25,,15000,80032,הוצאות רטיינרים שיווק,805,שיווק
809615,1755120,1075,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,13/02/2025,13/02/2025,09/04/2025,40623,0,ד.מ פוסט 02.25,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
815326,1768944,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,14/02/2025,14/02/2025,28/05/2025,0,0,ד.מ 01.25 בריף,,5900,80032,הוצאות רטיינרים שיווק,805,שיווק
815332,1768955,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,28/02/2025,28/02/2025,28/05/2025,0,0,עומר להט 02.25,,-8000,80032,הוצאות רטיינרים שיווק,805,שיווק
815329,1768949,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,28/02/2025,28/02/2025,28/05/2025,0,0,גלי ברגר 02.25,,-23000,80032,הוצאות רטיינרים שיווק,805,שיווק
820430,1781292,9997,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,28/02/2025,28/02/2025,28/05/2025,0,225,ד.מ 02.25,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
809604,1755098,1075,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,28/02/2025,28/02/2025,09/04/2025,1002,0,פלנר פרו 02.25,,-5071.5,80032,הוצאות רטיינרים שיווק,805,שיווק
815330,1768952,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,01/03/2025,01/03/2025,28/05/2025,0,0,גלי ברגר 02.25,,23000,80032,הוצאות רטיינרים שיווק,805,שיווק
815331,1768954,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,01/03/2025,01/03/2025,28/05/2025,0,0,עומר להט 02.25,,8000,80032,הוצאות רטיינרים שיווק,805,שיווק
810048,1756060,1089,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,17/03/2025,17/03/2025,28/04/2025,0,70431,ד.מ 01.25,,15000,80032,הוצאות רטיינרים שיווק,805,שיווק
809896,1755754,1087,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,23/04/2025,0,0,ד.מ פוסט 03.25,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
809605,1755100,1075,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,09/04/2025,1003,0,פלנר פרו 03.25,,-9411.5,80032,הוצאות רטיינרים שיווק,805,שיווק
815325,1768942,1106,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,31/03/2025,31/03/2025,28/05/2025,0,0,ד.מ 01.25,,15000,80032,הוצאות רטיינרים שיווק,805,שיווק
814979,1768144,1097,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,07/04/2025,07/04/2025,25/05/2025,0,800000,פלאנר פרו 03.25,,9411.5,80032,הוצאות רטיינרים שיווק,805,שיווק
810049,1756062,1089,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,08/04/2025,08/04/2025,28/04/2025,0,70459,ד.מ 02.25,,15000,80032,הוצאות רטיינרים שיווק,805,שיווק
820431,1781293,9997,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,08/04/2025,08/04/2025,23/04/2025,0,0,ד.מ פוסט 03.25,,15000,80032,הוצאות רטיינרים שיווק,805,שיווק
814976,1768138,1097,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,09/04/2025,09/04/2025,25/05/2025,0,800001,פלאנר פרו 01.25,,3080,80032,הוצאות רטיינרים שיווק,805,שיווק
814977,1768140,1097,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,09/04/2025,09/04/2025,25/05/2025,0,800002,פלאנר פרו 02.25,,5071.5,80032,הוצאות רטיינרים שיווק,805,שיווק
814908,1768021,1096,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,14/04/2025,14/04/2025,14/05/2025,0,40722,ד.מ - ריטיינר 04.25,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
814909,1768023,1096,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,30/04/2025,30/04/2025,14/05/2025,0,1004,פלנר- בשמת-04.25,,-7175,80032,הוצאות רטיינרים שיווק,805,שיווק
814965,1768115,1097,,37999,37099,"ד.מ פוסט בע""מ",ספקים לשלם +לקבל חשבונית,15/05/2025,15/05/2025,25/05/2025,0,40761,ד.מ ריטיינר 05.2025,,-15000,80032,הוצאות רטיינרים שיווק,805,שיווק
